Run,Time
1,807
2,903
3,866
4,882
5,902
6,805
7,930
8,835
9,993
10,920
11,940
12,704
13,952
14,774
15,818
16,798
17,745
18,798
19,998
20,772
21,1184
22,881
23,1179
24,919
25,1002
26,841
27,694
28,918
29,678
30,689
31,847
32,704
33,886
34,1019
35,885
36,984
37,822
38,954
39,760
40,877
41,733
42,811
43,892
44,987
45,972
46,747
47,765
48,965
49,686
50,696
51,823
52,841
53,858
54,784
55,889
56,1061
57,849
58,752
59,990
60,690
61,757
62,695
63,888
64,729
65,768
66,679
67,760
68,819
69,935
70,866
71,799
72,934
73,779
74,819
75,877
76,773
77,838
78,790
79,1123
80,905
81,726
82,753
83,1006
84,717
85,775
86,716
87,1096
88,699
89,872
90,811
91,787
92,781
93,860
94,711
95,743
96,763
97,783
98,786
99,686
100,974
101,802
102,943
103,832
104,723
105,709
106,829
107,835
108,873
109,737
110,874
111,794
112,968
113,829
114,1127
115,1063
116,788
117,808
118,960
119,839
120,799
121,1247
122,1179
123,1004
124,842
125,695
126,652
127,975
128,837
129,645
130,1073
131,1067
132,712
133,921
134,1180
135,873
136,796
137,871
138,912
139,968
140,776
141,741
142,671
143,844
144,759
145,793
146,769
147,830
148,810
149,724
150,750
151,749
152,841
153,882
154,847
155,902
156,791
157,740
158,829
159,804
160,872
161,838
162,785
163,867
164,799
165,635
166,970
167,1281
168,787
169,813
170,833
171,859
172,1078
173,698
174,901
175,822
176,819
177,806
178,902
179,866
180,882
181,902
182,805
183,930
184,835
185,993
186,921
187,940
188,704
189,951
190,774
191,818
192,798
193,745
194,798
195,997
196,772
197,1186
198,881
199,1179
200,919
201,1003
202,841
203,694
204,917
205,678
206,689
207,847
208,704
209,886
210,1020
211,885
212,983
213,822
214,953
215,759
216,876
217,734
218,810
219,893
220,988
221,973
222,748
223,765
224,965
225,686
226,696
227,822
228,840
229,858
230,784
231,889
232,1061
233,849
234,752
235,989
236,690
237,758
238,695
239,888
240,729
241,768
242,679
243,760
244,819
245,934
246,866
247,799
248,933
249,778
250,818
251,877
252,773
253,838
254,789
255,1123
256,906
